STATES,LANDAREA,POPESTIMATE2000,POPESTIMATE2005,POPESTIMATE2009,GDP2000,GDP2005,GDP2009
Alabama,135767,4451849,4545049,4708708,120428,157914,169370
Alaska,1723337,627499,669488,698473,26932,40277,49564
Arizona,295234,5166697,5974834,6595778,166108,227047,242918
Arkansas,137732,2678288,2776221,2889450,69111,90112,100430
California,423967,33994571,35795255,36961664,1377014,1760508,1915723
Colorado,269601,4328070,4660780,5024748,178331,222415,249975
Connecticut,14357,3411726,3477416,3518288,166995,208154,226572
Delaware,6446,786411,839906,885122,41677,52901,56155
Florida,170312,16047118,17783868,18537969,490538,700222,723187
Georgia,153910,8230161,9097428,9829211,304942,376626,405469
Hawaii,28313,1211566,1266117,1295178,41247,58123,65004
Idaho,216443,1299551,1425862,1545801,38416,47990,54015
Illinois,149995,12437645,12674452,12910409,492922,588847,641143
Indiana,94326,6091649,6253120,6423113,205807,247048,262854
Iowa,145746,2928184,2949450,3007856,95021,124021,136744
Kansas,213100,2692810,2741771,2818747,87446,106864,121975
Kentucky,104656,4048903,4182293,4314113,115126,144174,155911
Louisiana,135659,4468979,4497691,4492076,134251,200436,210591
Maine,91633,1277211,1311631,1318301,36684,46052,50263
Maryland,32131,5310579,5582520,5699478,192934,264729,303140
Massachusetts,27336,6363015,6453031,6593587,289554,344145,381866
Michigan,250487,9955308,10090554,9969727,351996,396268,365191
Minnesota,225163,4933958,5106560,5266214,192948,244800,259482
Mississippi,125438,2848310,2900116,2951996,66171,82274,92234
Missouri,180540,5606065,5806639,5987580,187707,225268,250059
Montana,380831,903293,934801,974989,21884,30425,35314
Nebraska,200330,1713345,1751721,1796619,57551,74415,87084
Nevada,286380,2018211,2408804,2643085,75777,116764,119132
New Hampshire,24214,1240446,1301415,1324575,44135,56123,60638
New Jersey,22591,8430921,8621837,8707739,360703,444973,484759
New Mexico,314917,1820813,1916538,2009671,55597,74063,80855
New York,141297,18998044,19330891,19541453,824386,1024329,1143081
North Carolina,139391,8079383,8669452,9380884,276963,357711,410015
North Dakota,183108,641200,635365,646844,17991,24709,32008
Ohio,116098,11363844,11475262,11542645,391503,468197,478374
Oklahoma,181037,3453943,3532769,3687050,92083,125106,143359
Oregon,254799,3430891,3617869,3825657,118086,147583,180332
Pennsylvania,119280,12285504,12418161,12604767,409473,505091,565931
Rhode Island,4001,1050736,1064989,1053209,34405,45250,47856
South Carolina,82933,4023570,4256199,4561242,116812,144754,161291
South Dakota,199729,755694,780084,812383,23267,31552,36401
Tennessee,109153,5703243,5995748,6296254,182844,228730,247316
Texas,695662,20945963,22801920,24782302,752007,999641,1171250
Utah,219882,2244314,2499637,2784572,70550,94876,113867
Vermont,24906,609903,618814,621760,18265,23483,25249
Virginia,110787,7104533,7563887,7882590,269194,358730,409592
Washington,184661,5911122,6261282,6664195,239942,296731,350880
West Virginia,62756,1806962,1803920,1819777,42497,53331,63033
Wisconsin,169635,5374254,5541443,5654774,181874,226963,245612
Wyoming,253335,493958,506242,544270,17324,27748,37813